Source,Date,Mean
Geumcheon-gu,Jul-11,4
Geumcheon-gu,Jun-11,8
Geumcheon-gu,May-11,13
Geumcheon-gu,Apr-11,18
Geumcheon-gu,Mar-11,14
Geumcheon-gu,Feb-11,18
Geumcheon-gu,Jan-11,14
Geumcheon-gu,Dec-10,16
Geumcheon-gu,Nov-10,4
Geumcheon-gu,Oct-10,16
Geumcheon-gu,Sep-10,10
Geumcheon-gu,Aug-10,24
Geumcheon-gu,Jul-10,12
Geumcheon-gu,Jun-10,19
Geumcheon-gu,May-10,16
Geumcheon-gu,Apr-10,21
Geumcheon-gu,Mar-10,24
Geumcheon-gu,Feb-10,0
Geumcheon-gu,Jan-10,15
Geumcheon-gu,Dec-09,26
Geumcheon-gu,Nov-09,0
Geumcheon-gu,Oct-09,16
Geumcheon-gu,Sep-09,30
Geumcheon-gu,Aug-09,29
Geumcheon-gu,Jul-09,26
Geumcheon-gu,Jun-09,2
Geumcheon-gu,May-09,0
Geumcheon-gu,Apr-09,27
Geumcheon-gu,Mar-09,33
Geumcheon-gu,Feb-09,9
Geumcheon-gu,Jan-09,10
Geumcheon-gu,Dec-08,0
Geumcheon-gu,Nov-08,18
Geumcheon-gu,Oct-08,24
Geumcheon-gu,Sep-08,1
Geumcheon-gu,Aug-08,7
Geumcheon-gu,Jul-08,30
Geumcheon-gu,Jun-08,27
Geumcheon-gu,May-08,10
Geumcheon-gu,Apr-08,33
Geumcheon-gu,Mar-08,20
Geumcheon-gu,Feb-08,29
Geumcheon-gu,Jan-08,16
Geumcheon-gu,Dec-07,23
Geumcheon-gu,Nov-07,8
Geumcheon-gu,Oct-07,19
Geumcheon-gu,Sep-07,17
Geumcheon-gu,Aug-07,9
Geumcheon-gu,Jul-07,1
Geumcheon-gu,Jun-07,33
Geumcheon-gu,May-07,3
Geumcheon-gu,Apr-07,35
Geumcheon-gu,Mar-07,23
Geumcheon-gu,Feb-07,19
Geumcheon-gu,Jan-07,13
Geumcheon-gu,Dec-06,18
Geumcheon-gu,Nov-06,32
Geumcheon-gu,Oct-06,23
Geumcheon-gu,Sep-06,35
Geumcheon-gu,Aug-06,4
Geumcheon-gu,Jul-06,25
Geumcheon-gu,Jun-06,20
Geumcheon-gu,May-06,24
Geumcheon-gu,Apr-06,1
Geumcheon-gu,Mar-06,32
Geumcheon-gu,Feb-06,15
Geumcheon-gu,Jan-06,13
Geumcheon-gu,Dec-05,30
Geumcheon-gu,Nov-05,11
Geumcheon-gu,Oct-05,21
Geumcheon-gu,Sep-05,27
Geumcheon-gu,Aug-05,29
Geumcheon-gu,Jul-05,32
Geumcheon-gu,Jun-05,21
Geumcheon-gu,May-05,25
Geumcheon-gu,Apr-05,20
Geumcheon-gu,Mar-05,23
Geumcheon-gu,Feb-05,31
Geumcheon-gu,Jan-05,23
Geumcheon-gu,Dec-04,35
Geumcheon-gu,Nov-04,24
Geumcheon-gu,Oct-04,19
Geumcheon-gu,Sep-04,34
Geumcheon-gu,Aug-04,18
Geumcheon-gu,Jul-04,12
Geumcheon-gu,Jun-04,7
Geumcheon-gu,May-04,22
Geumcheon-gu,Apr-04,9
Geumcheon-gu,Mar-04,7
Geumcheon-gu,Feb-04,7
Geumcheon-gu,Jan-04,19
Geumcheon-gu,Dec-03,14
Geumcheon-gu,Nov-03,29
Geumcheon-gu,Oct-03,35
Geumcheon-gu,Sep-03,24
Geumcheon-gu,Aug-03,23
Geumcheon-gu,Jul-03,24
Geumcheon-gu,Jun-03,17
Geumcheon-gu,May-03,10
Geumcheon-gu,Apr-03,15
Geumcheon-gu,Mar-03,21
Geumcheon-gu,Feb-03,28
Geumcheon-gu,Jan-03,19
Geumcheon-gu,Dec-02,23
Geumcheon-gu,Nov-02,5
Geumcheon-gu,Oct-02,1
Geumcheon-gu,Sep-02,23
Geumcheon-gu,Aug-02,35
Geumcheon-gu,Jul-02,35
Geumcheon-gu,Jun-02,27
Geumcheon-gu,May-02,21
Geumcheon-gu,Apr-02,19
Geumcheon-gu,Mar-02,14
Geumcheon-gu,Feb-02,0
Geumcheon-gu,Jan-02,34
Geumcheon-gu,Dec-01,35
Geumcheon-gu,Nov-01,9
Geumcheon-gu,Oct-01,29
Geumcheon-gu,Sep-01,18
Geumcheon-gu,Aug-01,29
Geumcheon-gu,Jul-01,22
Geumcheon-gu,Jun-01,32
Geumcheon-gu,May-01,16
Geumcheon-gu,Apr-01,8
Geumcheon-gu,Mar-01,1
Geumcheon-gu,Feb-01,3
Geumcheon-gu,Jan-01,5
Geumcheon-gu,Dec-00,4
Geumcheon-gu,Nov-00,24
Geumcheon-gu,Oct-00,20
Geumcheon-gu,Sep-00,16
Geumcheon-gu,Aug-00,24
Geumcheon-gu,Jul-00,20
Geumcheon-gu,Jun-00,2
Geumcheon-gu,May-00,24
Geumcheon-gu,Apr-00,4
Geumcheon-gu,Mar-00,24
Geumcheon-gu,Feb-00,3
Geumcheon-gu,Jan-00,0
Geumcheon-gu,Dec-99,26
Geumcheon-gu,Nov-99,20
Geumcheon-gu,Oct-99,18
Geumcheon-gu,Sep-99,22
Geumcheon-gu,Aug-99,20
Geumcheon-gu,Jul-99,12
Geumcheon-gu,Jun-99,9
Geumcheon-gu,May-99,17
Geumcheon-gu,Apr-99,17
Geumcheon-gu,Mar-99,17
Geumcheon-gu,Feb-99,33
Geumcheon-gu,Jan-99,7
Geumcheon-gu,Dec-98,34
Geumcheon-gu,Nov-98,15
Geumcheon-gu,Oct-98,35
Geumcheon-gu,Sep-98,29
Geumcheon-gu,Aug-98,19
Geumcheon-gu,Jul-98,1
Geumcheon-gu,Jun-98,31
Geumcheon-gu,May-98,24
Geumcheon-gu,Apr-98,27
Geumcheon-gu,Mar-98,28
Geumcheon-gu,Feb-98,23
Geumcheon-gu,Jan-98,4
Geumcheon-gu,Dec-97,8
Geumcheon-gu,Nov-97,14
Geumcheon-gu,Oct-97,16
Geumcheon-gu,Sep-97,11
Geumcheon-gu,Aug-97,16
Geumcheon-gu,Jul-97,13
Geumcheon-gu,Jun-97,7
Geumcheon-gu,May-97,8
Geumcheon-gu,Apr-97,3
Geumcheon-gu,Mar-97,31
Geumcheon-gu,Feb-97,12
Geumcheon-gu,Jan-97,13
Geumcheon-gu,Dec-96,12
Geumcheon-gu,Nov-96,5
Geumcheon-gu,Oct-96,26
Geumcheon-gu,Sep-96,31
Geumcheon-gu,Aug-96,2
Geumcheon-gu,Jul-96,24
Geumcheon-gu,Jun-96,35
Geumcheon-gu,May-96,24
Geumcheon-gu,Apr-96,33
Geumcheon-gu,Mar-96,14
Geumcheon-gu,Feb-96,29
Geumcheon-gu,Jan-96,16
Geumcheon-gu,Dec-95,35
Geumcheon-gu,Nov-95,23
Geumcheon-gu,Oct-95,17
Geumcheon-gu,Sep-95,11
Geumcheon-gu,Aug-95,33
Geumcheon-gu,Jul-95,19
Geumcheon-gu,Jun-95,29
Geumcheon-gu,May-95,20
Geumcheon-gu,Apr-95,8
Geumcheon-gu,Mar-95,13
Geumcheon-gu,Feb-95,17
Geumcheon-gu,Jan-95,1
Geumcheon-gu,Dec-94,1
Geumcheon-gu,Nov-94,8
Geumcheon-gu,Oct-94,13
Geumcheon-gu,Sep-94,35
Geumcheon-gu,Aug-94,15
Geumcheon-gu,Jul-94,23
Geumcheon-gu,Jun-94,1
Geumcheon-gu,May-94,3
Geumcheon-gu,Apr-94,0
Geumcheon-gu,Mar-94,32
Geumcheon-gu,Feb-94,12
Geumcheon-gu,Jan-94,33
Geumcheon-gu,Dec-93,8
Geumcheon-gu,Nov-93,1
Geumcheon-gu,Oct-93,35
Geumcheon-gu,Sep-93,26
Geumcheon-gu,Aug-93,30
Geumcheon-gu,Jul-93,22
Geumcheon-gu,Jun-93,8
Geumcheon-gu,May-93,26
Geumcheon-gu,Apr-93,6
Geumcheon-gu,Mar-93,14
Geumcheon-gu,Feb-93,24
Geumcheon-gu,Jan-93,0
Geumcheon-gu,Dec-92,3
Geumcheon-gu,Nov-92,18
Geumcheon-gu,Oct-92,30
Geumcheon-gu,Sep-92,16
Geumcheon-gu,Aug-92,17
Geumcheon-gu,Jul-92,4
Geumcheon-gu,Jun-92,16
Geumcheon-gu,May-92,15
Geumcheon-gu,Apr-92,2
Geumcheon-gu,Mar-92,19
Geumcheon-gu,Feb-92,9
Geumcheon-gu,Jan-92,34
Geumcheon-gu,Dec-91,31
Geumcheon-gu,Nov-91,6
Geumcheon-gu,Oct-91,16
Geumcheon-gu,Sep-91,33
Geumcheon-gu,Aug-91,10
Geumcheon-gu,Jul-91,8
Geumcheon-gu,Jun-91,14
Geumcheon-gu,May-91,13
Geumcheon-gu,Apr-91,35
Geumcheon-gu,Mar-91,6
Geumcheon-gu,Feb-91,25
Geumcheon-gu,Jan-91,35
Geumcheon-gu,Dec-90,0
Geumcheon-gu,Nov-90,4
Geumcheon-gu,Oct-90,18
Geumcheon-gu,Sep-90,17
Geumcheon-gu,Aug-90,18
Geumcheon-gu,Jul-90,14
Geumcheon-gu,Jun-90,27
Geumcheon-gu,May-90,20
Geumcheon-gu,Apr-90,32
Geumcheon-gu,Mar-90,17
Geumcheon-gu,Feb-90,21
Geumcheon-gu,Jan-90,15
Geumcheon-gu,Dec-89,1
Geumcheon-gu,Nov-89,10
Geumcheon-gu,Oct-89,4
Geumcheon-gu,Sep-89,12
Geumcheon-gu,Aug-89,9
Geumcheon-gu,Jul-89,15
Geumcheon-gu,Jun-89,16
Geumcheon-gu,May-89,14
Geumcheon-gu,Apr-89,26
Geumcheon-gu,Mar-89,25
Geumcheon-gu,Feb-89,3
Geumcheon-gu,Jan-89,20
Geumcheon-gu,Dec-88,17
Geumcheon-gu,Nov-88,19
Geumcheon-gu,Oct-88,30
Geumcheon-gu,Sep-88,7
Geumcheon-gu,Aug-88,18
Geumcheon-gu,Jul-88,22
Geumcheon-gu,Jun-88,5
Geumcheon-gu,May-88,1
Geumcheon-gu,Apr-88,4
Geumcheon-gu,Mar-88,35
Geumcheon-gu,Feb-88,18
Geumcheon-gu,Jan-88,17
Geumcheon-gu,Dec-87,27
Geumcheon-gu,Nov-87,20
Geumcheon-gu,Oct-87,32
Geumcheon-gu,Sep-87,16
Geumcheon-gu,Aug-87,29
Geumcheon-gu,Jul-87,8
Geumcheon-gu,Jun-87,3
Geumcheon-gu,May-87,31
Geumcheon-gu,Apr-87,34
Geumcheon-gu,Mar-87,33
Geumcheon-gu,Feb-87,35
Geumcheon-gu,Jan-87,28
Geumcheon-gu,Dec-86,9
Geumcheon-gu,Nov-86,25
Geumcheon-gu,Oct-86,20
Geumcheon-gu,Sep-86,21
Geumcheon-gu,Aug-86,11
Geumcheon-gu,Jul-86,22
Geumcheon-gu,Jun-86,33
Geumcheon-gu,May-86,33
Geumcheon-gu,Apr-86,5
Geumcheon-gu,Mar-86,29
Geumcheon-gu,Feb-86,15
Geumcheon-gu,Jan-86,18
Geumcheon-gu,Dec-85,33
Geumcheon-gu,Nov-85,3
Geumcheon-gu,Oct-85,2
Geumcheon-gu,Sep-85,8
Geumcheon-gu,Aug-85,23
Geumcheon-gu,Jul-85,14
Geumcheon-gu,Jun-85,16
Geumcheon-gu,May-85,34
Geumcheon-gu,Apr-85,24
Geumcheon-gu,Mar-85,32
Geumcheon-gu,Feb-85,6
Geumcheon-gu,Jan-85,17
Geumcheon-gu,Dec-84,7
Geumcheon-gu,Nov-84,19
Geumcheon-gu,Oct-84,6
Geumcheon-gu,Sep-84,6
Geumcheon-gu,Aug-84,32
Geumcheon-gu,Jul-84,34
Geumcheon-gu,Jun-84,5
Geumcheon-gu,May-84,4
Geumcheon-gu,Apr-84,5
Geumcheon-gu,Mar-84,21
Geumcheon-gu,Feb-84,31
Geumcheon-gu,Jan-84,9
Geumcheon-gu,Dec-83,13
Geumcheon-gu,Nov-83,19
Geumcheon-gu,Oct-83,6
Geumcheon-gu,Sep-83,13
Geumcheon-gu,Aug-83,23
Geumcheon-gu,Jul-83,4
Geumcheon-gu,Jun-83,22
Geumcheon-gu,May-83,2
Geumcheon-gu,Apr-83,4
Geumcheon-gu,Mar-83,13
Geumcheon-gu,Feb-83,4
Geumcheon-gu,Jan-83,11
Geumcheon-gu,Dec-82,30
Geumcheon-gu,Nov-82,6
Geumcheon-gu,Oct-82,29
Geumcheon-gu,Sep-82,33
Geumcheon-gu,Aug-82,28
Geumcheon-gu,Jul-82,32
Geumcheon-gu,Jun-82,4
Geumcheon-gu,May-82,35
Geumcheon-gu,Apr-82,28
Geumcheon-gu,Mar-82,20
Geumcheon-gu,Feb-82,13
Geumcheon-gu,Jan-82,19
Geumcheon-gu,Dec-81,25
Geumcheon-gu,Nov-81,9
Geumcheon-gu,Oct-81,0
Geumcheon-gu,Sep-81,30
Geumcheon-gu,Aug-81,16
Geumcheon-gu,Jul-81,25
Geumcheon-gu,Jun-81,10
Geumcheon-gu,May-81,20
Geumcheon-gu,Apr-81,22
Geumcheon-gu,Mar-81,28
Geumcheon-gu,Feb-81,9
Geumcheon-gu,Jan-81,32
Geumcheon-gu,Dec-80,31
Geumcheon-gu,Nov-80,35
Geumcheon-gu,Oct-80,9
Geumcheon-gu,Sep-80,6
Geumcheon-gu,Aug-80,4
Geumcheon-gu,Jul-80,9
Geumcheon-gu,Jun-80,31
Geumcheon-gu,May-80,23
Geumcheon-gu,Apr-80,17
Geumcheon-gu,Mar-80,27
Geumcheon-gu,Feb-80,14
Geumcheon-gu,Jan-80,1
Geumcheon-gu,Dec-79,20
Geumcheon-gu,Nov-79,4
Geumcheon-gu,Oct-79,18
Geumcheon-gu,Sep-79,24
Geumcheon-gu,Aug-79,28
Geumcheon-gu,Jul-79,33
Geumcheon-gu,Jun-79,13
Geumcheon-gu,May-79,35
Geumcheon-gu,Apr-79,20
Geumcheon-gu,Mar-79,33
Geumcheon-gu,Feb-79,1
Geumcheon-gu,Jan-79,33
Geumcheon-gu,Dec-78,25
Geumcheon-gu,Nov-78,7
Geumcheon-gu,Oct-78,17
Geumcheon-gu,Sep-78,21
Geumcheon-gu,Aug-78,29
Geumcheon-gu,Jul-78,17
Geumcheon-gu,Jun-78,4
Geumcheon-gu,May-78,29
Geumcheon-gu,Apr-78,12
Geumcheon-gu,Mar-78,20
Geumcheon-gu,Feb-78,11
Geumcheon-gu,Jan-78,24
Geumcheon-gu,Dec-77,10
Geumcheon-gu,Nov-77,4
Geumcheon-gu,Oct-77,35
Geumcheon-gu,Sep-77,10
Geumcheon-gu,Aug-77,7
Geumcheon-gu,Jul-77,28
Geumcheon-gu,Jun-77,2
Geumcheon-gu,May-77,17
Geumcheon-gu,Apr-77,34
Geumcheon-gu,Mar-77,20
Geumcheon-gu,Feb-77,21
Geumcheon-gu,Jan-77,5
Geumcheon-gu,Dec-76,14
Geumcheon-gu,Nov-76,11
Geumcheon-gu,Oct-76,4
Geumcheon-gu,Sep-76,24
Geumcheon-gu,Aug-76,3
Geumcheon-gu,Jul-76,9
Geumcheon-gu,Jun-76,33
Geumcheon-gu,May-76,32
Geumcheon-gu,Apr-76,3
Geumcheon-gu,Mar-76,18
Geumcheon-gu,Feb-76,16
Geumcheon-gu,Jan-76,27
Geumcheon-gu,Dec-75,1
Geumcheon-gu,Nov-75,12
Geumcheon-gu,Oct-75,21
Geumcheon-gu,Sep-75,12
Geumcheon-gu,Aug-75,10
Geumcheon-gu,Jul-75,13
Geumcheon-gu,Jun-75,17
Geumcheon-gu,May-75,35
Geumcheon-gu,Apr-75,24
Geumcheon-gu,Mar-75,14
Geumcheon-gu,Feb-75,19
Geumcheon-gu,Jan-75,30
Geumcheon-gu,Dec-74,32
Geumcheon-gu,Nov-74,26
Geumcheon-gu,Oct-74,1
Geumcheon-gu,Sep-74,5
Geumcheon-gu,Aug-74,5
Geumcheon-gu,Jul-74,2
Geumcheon-gu,Jun-74,17
Geumcheon-gu,May-74,14
Geumcheon-gu,Apr-74,22
Geumcheon-gu,Mar-74,26
Geumcheon-gu,Feb-74,11
Geumcheon-gu,Jan-74,0
Geumcheon-gu,Dec-73,26
Geumcheon-gu,Nov-73,35
Geumcheon-gu,Oct-73,13
Geumcheon-gu,Sep-73,14
Geumcheon-gu,Aug-73,1
Geumcheon-gu,Jul-73,10
Geumcheon-gu,Jun-73,32
Geumcheon-gu,May-73,14
Geumcheon-gu,Apr-73,9
Geumcheon-gu,Mar-73,10
Geumcheon-gu,Feb-73,20
Geumcheon-gu,Jan-73,21
Geumcheon-gu,Dec-72,34
Geumcheon-gu,Nov-72,26
Geumcheon-gu,Oct-72,30
Geumcheon-gu,Sep-72,10
Geumcheon-gu,Aug-72,19
Geumcheon-gu,Jul-72,6
Geumcheon-gu,Jun-72,4
Geumcheon-gu,May-72,16
Geumcheon-gu,Apr-72,12
Geumcheon-gu,Mar-72,33
Geumcheon-gu,Feb-72,14
Geumcheon-gu,Jan-72,7
Geumcheon-gu,Dec-71,29
Geumcheon-gu,Nov-71,19
Geumcheon-gu,Oct-71,24
Geumcheon-gu,Sep-71,20
Geumcheon-gu,Aug-71,6
Geumcheon-gu,Jul-71,13
Geumcheon-gu,Jun-71,5
Geumcheon-gu,May-71,33
Geumcheon-gu,Apr-71,28
Geumcheon-gu,Mar-71,5
Geumcheon-gu,Feb-71,16
Geumcheon-gu,Jan-71,6
Geumcheon-gu,Dec-70,17
Geumcheon-gu,Nov-70,26
Geumcheon-gu,Oct-70,2
Geumcheon-gu,Sep-70,20
Geumcheon-gu,Aug-70,35
Geumcheon-gu,Jul-70,23
Geumcheon-gu,Jun-70,10
Geumcheon-gu,May-70,6
Geumcheon-gu,Apr-70,27
Geumcheon-gu,Mar-70,6
Geumcheon-gu,Feb-70,3
Geumcheon-gu,Jan-70,11
Geumcheon-gu,Dec-69,13
Geumcheon-gu,Nov-69,2
Geumcheon-gu,Oct-69,26
Geumcheon-gu,Sep-69,34
Geumcheon-gu,Aug-69,25
Geumcheon-gu,Jul-69,27
Geumcheon-gu,Jun-69,23
Geumcheon-gu,May-69,8
Geumcheon-gu,Apr-69,34
Geumcheon-gu,Mar-69,35
Geumcheon-gu,Feb-69,0
Geumcheon-gu,Jan-69,33
Geumcheon-gu,Dec-68,31
Geumcheon-gu,Nov-68,31
Geumcheon-gu,Oct-68,29
Geumcheon-gu,Sep-68,15
Geumcheon-gu,Aug-68,20
Geumcheon-gu,Jul-68,7
Geumcheon-gu,Jun-68,24
Geumcheon-gu,May-68,35
Geumcheon-gu,Apr-68,20
Geumcheon-gu,Mar-68,13
Geumcheon-gu,Feb-68,24
Geumcheon-gu,Jan-68,20
Geumcheon-gu,Dec-67,26
Geumcheon-gu,Nov-67,5
Geumcheon-gu,Oct-67,9
Geumcheon-gu,Sep-67,17
Geumcheon-gu,Aug-67,24
Geumcheon-gu,Jul-67,19
Geumcheon-gu,Jun-67,17
Geumcheon-gu,May-67,17
Geumcheon-gu,Apr-67,21
Geumcheon-gu,Mar-67,2
Geumcheon-gu,Feb-67,11
Geumcheon-gu,Jan-67,17
Geumcheon-gu,Dec-66,22
Geumcheon-gu,Nov-66,25
Geumcheon-gu,Oct-66,0
Geumcheon-gu,Sep-66,31
Geumcheon-gu,Aug-66,0
Geumcheon-gu,Jul-66,24
Geumcheon-gu,Jun-66,18
Geumcheon-gu,May-66,10
Geumcheon-gu,Apr-66,8
Geumcheon-gu,Mar-66,19
Geumcheon-gu,Feb-66,33
Geumcheon-gu,Jan-66,6
Geumcheon-gu,Dec-65,1
Geumcheon-gu,Nov-65,21
Geumcheon-gu,Oct-65,13
Geumcheon-gu,Sep-65,18
Geumcheon-gu,Aug-65,26
Geumcheon-gu,Jul-65,20
Geumcheon-gu,Jun-65,24
Geumcheon-gu,May-65,26
Geumcheon-gu,Apr-65,6
Geumcheon-gu,Mar-65,29
Geumcheon-gu,Feb-65,31
Geumcheon-gu,Jan-65,17
Geumcheon-gu,Dec-64,11
Geumcheon-gu,Nov-64,1
Geumcheon-gu,Oct-64,9
Geumcheon-gu,Sep-64,11
Geumcheon-gu,Aug-64,7
Geumcheon-gu,Jul-64,10
Geumcheon-gu,Jun-64,22
Geumcheon-gu,May-64,27
Geumcheon-gu,Apr-64,27
Geumcheon-gu,Mar-64,28
Geumcheon-gu,Feb-64,32
Geumcheon-gu,Jan-64,34
Geumcheon-gu,Dec-63,13
Geumcheon-gu,Nov-63,9
Geumcheon-gu,Oct-63,14
Geumcheon-gu,Sep-63,12
Geumcheon-gu,Aug-63,3
Geumcheon-gu,Jul-63,32
Geumcheon-gu,Jun-63,0
Geumcheon-gu,May-63,2
Geumcheon-gu,Apr-63,15
Geumcheon-gu,Mar-63,30
Geumcheon-gu,Feb-63,12
Geumcheon-gu,Jan-63,30
Geumcheon-gu,Dec-62,22
Geumcheon-gu,Nov-62,33
Geumcheon-gu,Oct-62,19
Geumcheon-gu,Sep-62,23
Geumcheon-gu,Aug-62,4
Geumcheon-gu,Jul-62,1
Geumcheon-gu,Jun-62,31
Geumcheon-gu,May-62,18
Geumcheon-gu,Apr-62,23
Geumcheon-gu,Mar-62,31
Geumcheon-gu,Feb-62,14
Geumcheon-gu,Jan-62,22
Geumcheon-gu,Dec-61,17
Geumcheon-gu,Nov-61,33
Geumcheon-gu,Oct-61,27
Geumcheon-gu,Sep-61,34
Geumcheon-gu,Aug-61,11
Geumcheon-gu,Jul-61,33
Geumcheon-gu,Jun-61,0
Geumcheon-gu,May-61,9
Geumcheon-gu,Apr-61,9
Geumcheon-gu,Mar-61,15
Geumcheon-gu,Feb-61,10
Geumcheon-gu,Jan-61,21
Geumcheon-gu,Dec-60,7
Geumcheon-gu,Nov-60,13
Geumcheon-gu,Oct-60,20
Geumcheon-gu,Sep-60,30
Geumcheon-gu,Aug-60,21
Geumcheon-gu,Jul-60,5
Geumcheon-gu,Jun-60,35
Geumcheon-gu,May-60,16
Geumcheon-gu,Apr-60,15
Geumcheon-gu,Mar-60,4
Geumcheon-gu,Feb-60,12
Geumcheon-gu,Jan-60,29
Geumcheon-gu,Dec-59,12
Geumcheon-gu,Nov-59,32
Geumcheon-gu,Oct-59,25
Geumcheon-gu,Sep-59,4
Geumcheon-gu,Aug-59,34
Geumcheon-gu,Jul-59,16
Geumcheon-gu,Jun-59,18
Geumcheon-gu,May-59,5
Geumcheon-gu,Apr-59,1
Geumcheon-gu,Mar-59,6
Geumcheon-gu,Feb-59,7
Geumcheon-gu,Jan-59,26
Geumcheon-gu,Dec-58,2
Geumcheon-gu,Nov-58,33
Geumcheon-gu,Oct-58,6
Geumcheon-gu,Sep-58,5
Geumcheon-gu,Aug-58,13
Geumcheon-gu,Jul-58,7
Geumcheon-gu,Jun-58,29
Geumcheon-gu,May-58,2
Geumcheon-gu,Apr-58,34
Geumcheon-gu,Mar-58,13
Geumcheon-gu,Feb-58,32
Geumcheon-gu,Jan-58,22
Geumcheon-gu,Dec-57,0
Geumcheon-gu,Nov-57,30
Geumcheon-gu,Oct-57,28
Geumcheon-gu,Sep-57,34
Geumcheon-gu,Aug-57,33
Geumcheon-gu,Jul-57,4
Geumcheon-gu,Jun-57,10
Geumcheon-gu,May-57,8
Geumcheon-gu,Apr-57,12
Geumcheon-gu,Mar-57,12
Geumcheon-gu,Feb-57,31
Geumcheon-gu,Jan-57,28
Geumcheon-gu,Dec-56,18
Geumcheon-gu,Nov-56,15
Geumcheon-gu,Oct-56,21
Geumcheon-gu,Sep-56,29
Geumcheon-gu,Aug-56,7
Geumcheon-gu,Jul-56,3
Geumcheon-gu,Jun-56,30
Geumcheon-gu,May-56,8
Geumcheon-gu,Apr-56,31
Geumcheon-gu,Mar-56,19
Geumcheon-gu,Feb-56,13
Geumcheon-gu,Jan-56,11
Geumcheon-gu,Dec-55,0
Geumcheon-gu,Nov-55,18
Geumcheon-gu,Oct-55,4
Geumcheon-gu,Sep-55,23
Geumcheon-gu,Aug-55,18
Geumcheon-gu,Jul-55,29
Geumcheon-gu,Jun-55,12
Geumcheon-gu,May-55,25
Geumcheon-gu,Apr-55,28
Geumcheon-gu,Mar-55,34
Geumcheon-gu,Feb-55,14
Geumcheon-gu,Jan-55,14
Geumcheon-gu,Dec-54,35
Geumcheon-gu,Nov-54,34
Geumcheon-gu,Oct-54,34
Geumcheon-gu,Sep-54,22
Geumcheon-gu,Aug-54,17
Geumcheon-gu,Jul-54,0
Geumcheon-gu,Jun-54,16
Geumcheon-gu,May-54,35
Geumcheon-gu,Apr-54,20
Geumcheon-gu,Mar-54,11
Geumcheon-gu,Feb-54,25
Geumcheon-gu,Jan-54,19
Geumcheon-gu,Dec-53,35
Geumcheon-gu,Nov-53,14
Geumcheon-gu,Oct-53,19
Geumcheon-gu,Sep-53,28
Geumcheon-gu,Aug-53,2
Geumcheon-gu,Jul-53,34
Geumcheon-gu,Jun-53,30
Geumcheon-gu,May-53,30
Geumcheon-gu,Apr-53,31
Geumcheon-gu,Mar-53,29
Geumcheon-gu,Feb-53,14
Geumcheon-gu,Jan-53,9
Geumcheon-gu,Dec-52,19
Geumcheon-gu,Nov-52,5
Geumcheon-gu,Oct-52,8
Geumcheon-gu,Sep-52,3
Geumcheon-gu,Aug-52,32
Geumcheon-gu,Jul-52,3
Geumcheon-gu,Jun-52,17
Geumcheon-gu,May-52,0
Geumcheon-gu,Apr-52,8
Geumcheon-gu,Mar-52,25
Geumcheon-gu,Feb-52,4
Geumcheon-gu,Jan-52,20
Geumcheon-gu,Dec-51,28
Geumcheon-gu,Nov-51,14
Geumcheon-gu,Oct-51,25
